;object_name;chain;object_type;address;number;street;coord;district
7710;теремок;да;предприятие быстрого обслуживания;город москва, каширское шоссе, дом 26;12;каширское шоссе;37.64613 55.653314;район Москворечье-Сабурово
7711;кафе «costa coffee»;да;кафе;город москва, каширское шоссе, дом 26;21;каширское шоссе;37.64613 55.653314;район Москворечье-Сабурово
7712;кафетерий «плюшка&ватрушка»;нет;кафетерий;город москва, каширское шоссе, дом 26;21;каширское шоссе;37.64613 55.653314;район Москворечье-Сабурово
7714;теремок;да;ресторан;город москва, кировоградская улица, дом 13а;20;кировоградская улица;37.607026 55.612182;район Чертаново Центральное
7715;бургер кинг;да;предприятие быстрого обслуживания;город москва, кировоградская улица, дом 13а;25;кировоградская улица;37.607026 55.612182;район Чертаново Центральное
7716;kfc;да;предприятие быстрого обслуживания;город москва, кировоградская улица, дом 13а;30;кировоградская улица;37.607026 55.612182;район Чертаново Центральное
7717;старбакс;да;кафе;город москва, кировоградская улица, дом 13а;55;кировоградская улица;37.607026 55.612182;район Чертаново Центральное
7718;yes pizza;нет;предприятие быстрого обслуживания;город москва, кировоградская улица, дом 13а;25;кировоградская улица;37.607026 55.612182;район Чертаново Центральное
7719;пивзавод ресторан brotundbeer;нет;ресторан;город москва, кировоградская улица, дом 13а;120;кировоградская улица;37.607026 55.612182;район Чертаново Центральное
7720;иль патио;да;ресторан;город москва, кировоградская улица, дом 13а;152;кировоградская улица;37.607026 55.612182;район Чертаново Центральное
7721;дача на варшавке;нет;ресторан;город москва, кировоградская улица, дом 13а;250;кировоградская улица;37.607026 55.612182;район Чертаново Центральное
7722;bazar;нет;ресторан;город москва, кировоградская улица, дом 13а;80;кировоградская улица;37.607026 55.612182;район Чертаново Центральное
7723;урюк;да;ресторан;город москва, кировоградская улица, дом 13а;160;кировоградская улица;37.607026 55.612182;район Чертаново Центральное
7724;чайхона №1;да;ресторан;город москва, кировоградская улица, дом 13а;80;кировоградская улица;37.607026 55.612182;район Чертаново Центральное
7725;шоколадница;да;кафе;город москва, кировоградская улица, дом 13а;25;кировоградская улица;37.607026 55.612182;район Чертаново Центральное
7726;doughnats coffee;нет;магазин (отдел кулинарии);город москва, кировоградская улица, дом 13а;10;кировоградская улица;37.607026 55.612182;район Чертаново Центральное
7727;gelato bacio;нет;магазин (отдел кулинарии);город москва, кировоградская улица, дом 13а;6;кировоградская улица;37.607026 55.612182;район Чертаново Центральное
7753;буфет;нет;буфет;город москва, варшавское шоссе, дом 14, строение 1;12;варшавское шоссе;37.619845 55.695981;Донской район
7754;кафе «клубавторадио»;нет;кафе;город москва, варшавское шоссе, дом 14, строение 1;80;варшавское шоссе;37.619845 55.695981;Донской район
7758;кулинарная лавка братьев караваевых;да;кафетерий;город москва, варшавское шоссе, дом 9, строение 1б;30;варшавское шоссе;37.623681 55.70003;Донской район
7759;кафе «arcus bar and food»;нет;кафе;город москва, варшавское шоссе, дом 9, строение 1б;180;варшавское шоссе;37.623681 55.70003;Донской район
7760;первое кафе;нет;кафе;город москва, варшавское шоссе, дом 9, строение 1б;97;варшавское шоссе;37.623681 55.70003;Донской район
